   pmtshield_115 Rin  |                band  |   Mu metal shield for pmt 115  |                      -368.263*mm -100.8*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   pmtshield_115 Lin  |                band  |   Mu metal shield for pmt 115  |                       368.263*mm -100.8*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  scintillator_116 B  |                band  |              Short Bars 116 B  |                         753.5*mm -173.8*mm 655*mm  |                       0*deg 0*deg 0*deg  | 4cbb17   |                 Box  |                                          255*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 4 layer manual 1 component manual 6 side manual 0 
  scintillator_116 A  |                band  |              Short Bars 116 A  |                        -753.5*mm -173.8*mm 655*mm  |                       0*deg 0*deg 0*deg  | 32cd32   |                 Box  |                                          255*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 3 layer manual 1 component manual 6 side manual 0 
  pmtshield_116 Lout  |                band  |   Mu metal shield for pmt 116  |                      -1138.74*mm -173.8*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  pmtshield_116 Rout  |                band  |   Mu metal shield for pmt 116  |                       1138.74*mm -173.8*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   pmtshield_116 Rin  |                band  |   Mu metal shield for pmt 116  |                      -368.263*mm -173.8*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   pmtshield_116 Lin  |                band  |   Mu metal shield for pmt 116  |                       368.263*mm -173.8*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    scintillator_117  |                band  |              Scintillator 117  |                             0*mm -246.8*mm 655*mm  |                       0*deg 0*deg 0*deg  | 007fff   |                 Box  |                                       1009.5*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 5 layer manual 1 component manual 1 side manual 0 
     pmtshield_117 L  |                band  |   Mu metal shield for pmt 117  |                      -1138.74*mm -246.8*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
